country,iso3,region,year,acute_food_insecurity_m,acute_food_insecurity_pct,ipc_ch_phase5_population_m,child_malnutrition_risk_1_10,conflict_driver_1_10,economic_driver_1_10,climate_driver_1_10,displacement_driver_1_10,access_constraint_1_10,funding_gap_risk_1_10,data_confidence,primary_driver,source_url,source_note
Gaza Strip,PSE,Middle East,2025,2.1,100,0.5,10,10,9,4,10,10,9,High,Conflict/access restrictions,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update reports Gaza at 100% high acute food insecurity and over half a million facing starvation in July 2025.
Sudan,SDN,Africa,2025,24.6,51,0.76,10,10,9,7,10,10,9,High,Conflict/displacement/access,https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1159433,IPC reports half the population 24.6M in high acute food insecurity and famine detected/projected in several areas.
South Sudan,SSD,Africa,2026,7.8,57,0.05,10,9,9,8,9,8,8,Medium-High,Conflict/economic shock,https://www.devdiscourse.com/article/international/3933483-south-sudan-on-the-edge-78-million-face-acute-hunger-as-famine-risk-looms,Reported 7.8M facing high acute food insecurity and famine risk in 2026.
Yemen,YEM,Middle East,2025,18.1,52,0.02,9,9,10,6,8,8,9,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Yemen among worst affected by share and among top five by number in 2025.
Haiti,HTI,Latin America & Caribbean,2025,5.7,51,0.01,9,9,10,6,8,8,9,High,Insecurity/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update reports Haiti among five highest shares of high acute food insecurity.
Nigeria,NGA,Africa,2025,30.6,14,0,8,9,9,6,8,6,8,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Nigeria among five worst-hit by total people experiencing high acute food insecurity in 2025.
Democratic Republic of the Congo,COD,Africa,2025,27.7,25,0,8,9,8,6,9,7,8,High,Conflict/displacement,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists DRC among five worst-hit by total people in high acute food insecurity in 2025.
Myanmar,MMR,Asia,2025,16.7,31,0,8,9,8,6,8,7,8,High,Conflict/economic shock,https://knowledge4policy.ec.europa.eu/publication/global-report-food-crises-2025-september-update_en,GRFC Sep Update lists Myanmar among worst five by total people experiencing high acute food insecurity in 2025.
Afghanistan,AFG,Asia,2024,14.2,33,0,8,6,9,8,6,6,8,Medium-High,Economic/climate shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Afghanistan among countries with at least one-third of population in high acute food insecurity.
Ethiopia,ETH,Africa,2024,15.8,13,0,8,7,8,9,7,6,8,Medium-High,Conflict/climate/economic,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Ethiopia among major food crises in 2024; 2025 data gap noted in September update.
Bangladesh,BGD,Asia,2024,23.6,14,0,6,3,8,9,5,4,7,Medium-High,Climate/economic shock,https://elpais.com/planeta-futuro/2025-07-28/el-hambre-se-agrava-en-africa-y-en-asia-occidental.html,Public reporting citing GRFC lists Bangladesh among top five by number in 2024.
Syrian Arab Republic,SYR,Middle East,2024,12.9,55,0,8,8,10,5,7,7,8,Medium-High,Conflict/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Syrian Arab Republic among countries with 9M to 22M people affected and at least one-third of population affected.
Pakistan,PAK,Asia,2024,11.8,5,0,6,4,8,8,5,4,7,Medium,Economic/climate shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief places Pakistan among countries with 9M to 22M people facing high acute food insecurity.
Somalia,SOM,Africa,2025,4.6,25,0,9,7,8,9,7,6,8,Medium-High,Climate/conflict/economic,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update notes deterioration was projected for Somalia due to rainfall outlook.
Mali,MLI,Africa,2025,2.0,9,0.01,8,9,8,7,7,7,8,Medium-High,Conflict/insecurity,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update lists Mali among countries/territories with IPC/CH Phase 5 populations.
Zambia,ZMB,Africa,2024,6.0,33,0,7,2,8,10,3,3,7,Medium-High,Climate/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Zambia among countries with at least one-third of population in high acute food insecurity.
Central African Republic,CAF,Africa,2024,2.5,33,0,8,8,7,6,7,7,7,Medium-High,Conflict/displacement,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Central African Republic among countries with at least one-third of population in high acute food insecurity.
Lebanon,LBN,Middle East,2024,1.3,23,0,6,8,9,4,6,5,7,Medium,Conflict/economic shock,https://www.fightfoodcrises.net/sites/default/files/resources/files/GRFC2025-brief-en.pdf,GRFC brief notes Lebanon experienced escalating conflict/insecurity affecting food security.
Kenya,KEN,Africa,2025,2.8,5,0,6,3,7,8,4,3,6,Medium,Climate/economic shock,https://www.fightfoodcrises.net/articles/2025-global-report-food-crises-september-update,GRFC Sep Update notes projected deterioration for Kenya due to forecast poor rainfall though rains later improved.
Mozambique,MOZ,Africa,2024,3.3,10,0,7,7,7,8,5,5,7,Medium,Conflict/climate shock,https://www.theguardian.com/world/2024/oct/31/almost-two-dozen-countries-at-high-risk-of-acute-hunger-un-report-reveals,Hunger Hotspots reporting identified Mozambique among countries where acute food insecurity may worsen.
